Wavelength	Actinic_flux	SIG	SIGNO3	PHINO3A	PHINO3B
6.89E+02	5.13E+14	1.22E-21	0.00E+00	0	0
6.90E+02	5.14E+14	1.19E-21	0.00E+00	0	0
6.91E+02	5.11E+14	1.16E-21	0.00E+00	0	0
6.92E+02	5.07E+14	1.14E-21	0.00E+00	0	0
6.93E+02	5.09E+14	1.11E-21	0.00E+00	0	0
6.94E+02	5.09E+14	1.08E-21	0.00E+00	0	0
6.95E+02	5.02E+14	1.05E-21	0.00E+00	0	0
6.96E+02	5.05E+14	1.03E-21	0.00E+00	0	0
6.97E+02	5.05E+14	9.98E-22	0.00E+00	0	0
6.98E+02	4.98E+14	9.75E-22	0.00E+00	0	0
6.99E+02	5.05E+14	9.57E-22	0.00E+00	0	0
7.00E+02	5.01E+14	9.36E-22	0.00E+00	0	0
