Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
4.18E+02	3.55E+14	6.49E-19	0.00E+00	1.01E-20	1.14E-19	1.56E-20
4.19E+02	3.69E+14	6.48E-19	0.00E+00	9.90E-21	1.12E-19	1.53E-20
4.20E+02	3.38E+14	6.45E-19	0.00E+00	9.67E-21	1.10E-19	1.50E-20
4.21E+02	3.84E+14	6.43E-19	0.00E+00	9.73E-21	1.08E-19	1.47E-20
4.22E+02	3.79E+14	6.40E-19	0.00E+00	9.79E-21	1.06E-19	1.44E-20
4.23E+02	3.67E+14	6.36E-19	0.00E+00	9.86E-21	1.04E-19	1.42E-20
4.24E+02	3.65E+14	6.32E-19	0.00E+00	9.92E-21	1.02E-19	1.40E-20
4.25E+02	3.76E+14	6.28E-19	0.00E+00	9.98E-21	1.00E-19	1.38E-20
4.26E+02	3.64E+14	6.23E-19	0.00E+00	1.03E-20	9.80E-20	1.37E-20
4.27E+02	3.52E+14	6.18E-19	0.00E+00	1.06E-20	9.60E-20	1.35E-20
4.28E+02	3.56E+14	6.13E-19	0.00E+00	1.09E-20	9.39E-20	1.33E-20
4.29E+02	3.29E+14	6.07E-19	0.00E+00	1.12E-20	9.20E-20	1.32E-20
4.30E+02	2.62E+14	6.01E-19	0.00E+00	1.15E-20	9.00E-20	1.30E-20
4.31E+02	2.38E+14	5.96E-19	0.00E+00	1.20E-20	8.81E-20	1.28E-20
4.32E+02	3.96E+14	5.90E-19	0.00E+00	1.25E-20	8.62E-20	1.26E-20
4.33E+02	3.69E+14	5.84E-19	0.00E+00	1.30E-20	8.42E-20	1.24E-20
4.34E+02	3.41E+14	5.77E-19	0.00E+00	1.35E-20	8.22E-20	1.22E-20
4.35E+02	3.74E+14	5.71E-19	0.00E+00	1.40E-20	8.00E-20	1.20E-20
4.36E+02	4.10E+14	5.65E-19	0.00E+00	1.46E-20	7.77E-20	1.18E-20
4.37E+02	4.18E+14	5.59E-19	0.00E+00	1.51E-20	7.54E-20	1.16E-20
4.38E+02	3.67E+14	5.53E-19	0.00E+00	1.57E-20	7.32E-20	1.15E-20
4.39E+02	3.54E+14	5.46E-19	0.00E+00	1.62E-20	7.14E-20	1.13E-20
4.40E+02	4.05E+14	5.40E-19	0.00E+00	1.68E-20	7.00E-20	1.11E-20
4.41E+02	3.99E+14	5.34E-19	0.00E+00	1.74E-20	6.92E-20	1.10E-20
4.42E+02	4.28E+14	5.29E-19	0.00E+00	1.79E-20	6.90E-20	1.08E-20
4.43E+02	4.35E+14	5.23E-19	0.00E+00	1.85E-20	6.91E-20	1.07E-20
4.44E+02	4.23E+14	5.17E-19	0.00E+00	1.90E-20	6.95E-20	1.06E-20
4.45E+02	4.40E+14	5.12E-19	0.00E+00	1.96E-20	7.00E-20	1.04E-20
4.46E+02	3.94E+14	5.07E-19	0.00E+00	2.00E-20	0.00E+00	1.02E-20
4.47E+02	4.48E+14	5.02E-19	0.00E+00	2.05E-20	0.00E+00	1.00E-20
4.48E+02	4.54E+14	4.97E-19	0.00E+00	2.09E-20	0.00E+00	9.76E-21
4.49E+02	4.52E+14	4.92E-19	0.00E+00	2.14E-20	0.00E+00	9.52E-21
4.50E+02	4.69E+14	4.88E-19	0.00E+00	2.18E-20	0.00E+00	9.30E-21
4.51E+02	4.86E+14	4.83E-19	0.00E+00	2.20E-20	0.00E+00	9.10E-21
4.52E+02	4.66E+14	4.79E-19	0.00E+00	2.22E-20	0.00E+00	8.92E-21
4.53E+02	4.30E+14	4.75E-19	0.00E+00	2.25E-20	0.00E+00	8.73E-21
4.54E+02	4.61E+14	4.72E-19	0.00E+00	2.27E-20	0.00E+00	8.54E-21
4.55E+02	4.58E+14	4.68E-19	0.00E+00	2.29E-20	0.00E+00	8.34E-21
4.56E+02	4.74E+14	4.65E-19	0.00E+00	2.29E-20	0.00E+00	8.15E-21
4.57E+02	4.78E+14	4.61E-19	0.00E+00	2.29E-20	0.00E+00	7.97E-21
4.58E+02	4.69E+14	4.58E-19	0.00E+00	2.28E-20	0.00E+00	7.80E-21
4.59E+02	4.65E+14	4.55E-19	0.00E+00	2.28E-20	0.00E+00	7.63E-21
4.60E+02	4.63E+14	4.52E-19	0.00E+00	2.28E-20	0.00E+00	7.43E-21
4.61E+02	4.79E+14	4.50E-19	0.00E+00	2.25E-20	0.00E+00	7.21E-21
4.62E+02	4.83E+14	4.47E-19	0.00E+00	2.22E-20	0.00E+00	6.99E-21
4.63E+02	4.86E+14	4.45E-19	0.00E+00	2.20E-20	0.00E+00	6.79E-21
4.64E+02	4.71E+14	4.42E-19	0.00E+00	2.17E-20	0.00E+00	6.64E-21
4.65E+02	4.65E+14	4.40E-19	0.00E+00	2.14E-20	0.00E+00	6.52E-21
4.66E+02	4.74E+14	4.37E-19	0.00E+00	2.09E-20	0.00E+00	6.41E-21
4.67E+02	4.54E+14	4.35E-19	0.00E+00	2.05E-20	0.00E+00	6.29E-21
4.68E+02	4.74E+14	4.33E-19	0.00E+00	2.00E-20	0.00E+00	6.12E-21
4.69E+02	4.77E+14	4.31E-19	0.00E+00	1.96E-20	0.00E+00	5.91E-21
4.70E+02	4.59E+14	4.28E-19	0.00E+00	1.91E-20	0.00E+00	5.66E-21
4.71E+02	4.67E+14	4.26E-19	0.00E+00	1.85E-20	0.00E+00	5.39E-21
4.72E+02	4.92E+14	4.24E-19	0.00E+00	1.79E-20	0.00E+00	5.14E-21
4.73E+02	4.73E+14	4.21E-19	0.00E+00	1.74E-20	0.00E+00	4.92E-21
4.74E+02	4.80E+14	4.19E-19	0.00E+00	1.68E-20	0.00E+00	4.75E-21
4.75E+02	4.97E+14	4.17E-19	0.00E+00	1.62E-20	0.00E+00	4.61E-21
4.76E+02	4.82E+14	4.14E-19	0.00E+00	1.56E-20	0.00E+00	4.50E-21
4.77E+02	4.86E+14	4.11E-19	0.00E+00	1.49E-20	0.00E+00	4.39E-21
4.78E+02	5.02E+14	4.09E-19	0.00E+00	1.43E-20	0.00E+00	4.26E-21
4.79E+02	4.92E+14	4.06E-19	0.00E+00	1.36E-20	0.00E+00	4.10E-21
4.80E+02	5.00E+14	4.03E-19	0.00E+00	1.30E-20	0.00E+00	3.90E-21
4.81E+02	4.99E+14	4.00E-19	0.00E+00	1.24E-20	0.00E+00	3.67E-21
4.82E+02	5.00E+14	3.97E-19	0.00E+00	1.18E-20	0.00E+00	3.41E-21
4.83E+02	4.94E+14	3.93E-19	0.00E+00	1.12E-20	0.00E+00	3.16E-21
4.84E+02	4.85E+14	3.90E-19	0.00E+00	1.05E-20	0.00E+00	2.93E-21
4.85E+02	4.83E+14	3.86E-19	0.00E+00	9.93E-21	0.00E+00	2.75E-21
4.86E+02	3.92E+14	3.83E-19	0.00E+00	9.39E-21	0.00E+00	2.63E-21
4.87E+02	4.39E+14	3.79E-19	0.00E+00	8.85E-21	0.00E+00	2.56E-21
4.88E+02	4.75E+14	3.75E-19	0.00E+00	8.31E-21	0.00E+00	2.51E-21
4.89E+02	4.49E+14	3.71E-19	0.00E+00	7.77E-21	0.00E+00	2.47E-21
4.90E+02	5.01E+14	3.66E-19	0.00E+00	7.23E-21	0.00E+00	2.43E-21
4.91E+02	4.82E+14	3.62E-19	0.00E+00	6.79E-21	0.00E+00	2.40E-21
4.92E+02	4.60E+14	3.58E-19	0.00E+00	6.35E-21	0.00E+00	2.37E-21
4.93E+02	4.92E+14	3.53E-19	0.00E+00	5.90E-21	0.00E+00	2.33E-21
4.94E+02	4.81E+14	3.48E-19	0.00E+00	5.46E-21	0.00E+00	2.26E-21
4.95E+02	5.11E+14	3.43E-19	0.00E+00	5.02E-21	0.00E+00	2.14E-21
4.96E+02	4.87E+14	3.39E-19	0.00E+00	4.68E-21	0.00E+00	1.97E-21
4.97E+02	4.95E+14	3.33E-19	0.00E+00	4.34E-21	0.00E+00	1.78E-21
4.98E+02	4.82E+14	3.28E-19	0.00E+00	4.01E-21	0.00E+00	1.59E-21
4.99E+02	4.83E+14	3.23E-19	0.00E+00	3.67E-21	0.00E+00	1.45E-21
5.00E+02	4.82E+14	3.18E-19	0.00E+00	3.33E-21	0.00E+00	1.35E-21
5.01E+02	4.69E+14	3.12E-19	0.00E+00	3.09E-21	0.00E+00	0.00E+00
5.02E+02	4.70E+14	3.07E-19	0.00E+00	2.85E-21	0.00E+00	0.00E+00
